,util_diff,normal cdf V1-V3,normal cdf V3-V1,log normal cdf V1-V3,log normal cdf V3-V1,choice log prob
99,3.513783,0.9997791,0.00022086501,-0.00022091922,-7.9711924,-0.00022091922
100,3.5246773,0.999788,0.00021201372,-0.00021203619,-7.9711924,-0.00021203619
101,3.4772785,0.9997468,0.00025323033,-0.00025323257,-7.9711924,-0.00025323257
102,3.4736106,0.9997432,0.0002568066,-0.00025680978,-7.9711924,-0.00025680978
103,3.4659238,0.9997358,0.0002642274,-0.0002642623,-7.9711924,-0.0002642623
104,3.4746716,0.9997443,0.00025573373,-0.0002557366,-7.9711924,-0.0002557366
105,3.4621308,0.999732,0.00026801229,-0.0002680184,-7.9711924,-0.0002680184
106,3.4709802,0.99974066,0.0002593398,-0.00025937342,-7.9711924,-0.00025937342
107,3.4662516,0.9997361,0.00026389956,-0.0002639642,-7.9711924,-0.0002639642
108,3.4777315,0.99974716,0.0002528429,-0.00025287486,-7.9711924,-0.00025287486
109,3.4666855,0.99973655,0.00026345253,-0.00026348722,-7.9711924,-0.00026348722
110,3.5074265,0.99977374,0.00022628903,-0.00022628483,-7.9711924,-0.00022628483
111,3.5153508,0.9997804,0.00021955371,-0.00021960762,-7.9711924,-0.00021960762
112,3.502802,0.9997698,0.00023019314,-0.00023021964,-7.9711924,-0.00023021964
113,3.465524,0.9997354,0.00026458502,-0.00026462003,-7.9711924,-0.00026462003
114,3.459987,0.99972993,0.00027006865,-0.0002701051,-7.9711924,-0.0002701051
115,3.474185,0.9997438,0.00025621057,-0.00025621356,-7.9711924,-0.00025621356
116,3.4611166,0.99973106,0.00026893616,-0.00026897233,-7.9711924,-0.00026897233
117,3.4565775,0.9997264,0.00027355552,-0.00027362275,-7.9711924,-0.00027362275
118,3.4863412,0.99975514,0.00024485588,-0.00024488586,-7.9711924,-0.00024488586
119,3.5184906,0.999783,0.00021702051,-0.00021704406,-7.9711924,-0.00021704406
120,3.5024586,0.99976957,0.00023046136,-0.0002304581,-7.9711924,-0.0002304581
121,3.5251422,0.9997884,0.00021162629,-0.00021161887,-7.9711924,-0.00021161887
122,3.507166,0.9997735,0.00022649765,-0.0002265233,-7.9711924,-0.0002265233
123,3.502828,0.9997698,0.00023019314,-0.00023021964,-7.9711924,-0.00023021964
