PersonID,weight,hhsize,childnum,faminc,faminc25K,income,employed,fulltime,spousepr,spousemp,male,married,age,age2,age15_40,age41_60,age61_85,bachigher,white,metro,diaryday,Sunday,holiday,weekearn,weekwordur,hhchild,ohhchild,t1,t2,t3,t4,number_chosen
2914,0.967527981,5,3,15,0,125.0,1,0,0,0,1,0,16,256,1,0,0,0,1,1,7,0,0,100.0,20,1,0,0,40,120,15,3
2915,0.304969877,1,0,15,0,125.0,0,0,0,0,1,0,85,7225,0,0,1,1,1,1,7,0,0,-1.0,-1,0,0,0,135,0,30,2
2916,1.087023787,4,1,14,0,87.5,0,0,0,0,0,0,15,225,1,0,0,0,1,1,1,1,0,-1.0,-1,1,0,0,269,90,75,3
2918,0.477112381,2,0,7,1,22.5,1,0,1,1,0,1,61,3721,0,0,1,0,1,1,7,0,0,448.96,32,0,0,0,160,180,40,3
2919,1.705817365,2,0,16,0,150.0,1,1,1,1,0,0,29,841,1,0,0,0,1,1,7,0,0,2500.0,50,0,0,105,230,30,115,4
2920,0.800657559,3,1,8,0,27.5,1,1,1,0,1,0,24,576,1,0,0,0,1,1,7,0,0,348.0,40,1,1,0,0,0,40,1
2921,0.447355076,4,1,8,0,27.5,1,1,1,0,1,1,52,2704,0,1,0,0,1,1,1,1,0,1736.4,40,1,1,210,20,0,60,3
2922,0.173793223,1,0,10,0,37.5,1,1,0,0,0,0,51,2601,0,1,0,0,1,1,7,0,0,327.0,-1,0,0,0,0,0,148,1
2923,0.583311349,2,0,14,0,87.5,0,0,1,0,0,1,64,4096,0,0,1,1,0,1,1,1,0,-1.0,-1,0,0,0,360,15,40,3
2924,0.33500333,2,0,5,1,13.75,0,0,1,1,0,0,51,2601,0,1,0,1,1,1,7,0,0,-1.0,-1,0,0,93,60,45,45,4
2925,0.679189552,2,0,16,0,150.0,0,0,1,1,0,1,55,3025,0,1,0,1,1,1,1,1,0,-1.0,-1,0,0,30,115,0,120,3
2926,0.685558544,2,0,13,0,67.5,0,0,1,0,1,1,77,5929,0,0,1,0,1,1,7,0,0,-1.0,-1,0,0,120,0,0,0,1
2927,0.478467764,2,0,10,0,37.5,0,0,1,0,1,1,85,7225,0,0,1,1,1,1,1,1,0,-1.0,-1,0,0,10,210,60,0,3
2928,0.320544957,1,0,12,0,55.0,1,1,0,0,0,0,41,1681,0,1,0,0,0,1,7,0,0,1077.0,47,0,0,375,0,0,171,2
2929,0.439994685,2,0,1,1,2.5,0,0,0,0,0,0,76,5776,0,0,1,0,1,0,7,0,0,-1.0,-1,0,0,60,0,0,0,1
2930,0.836338191,2,0,6,1,17.5,0,0,0,0,0,0,49,2401,0,1,0,0,1,1,7,0,0,-1.0,-1,0,0,40,491,30,111,4
2932,0.509854847,1,0,11,0,45.0,1,1,0,0,1,0,40,1600,1,0,0,0,1,1,7,0,0,-1.0,50,0,0,0,60,853,17,3
2933,0.31474011,1,0,15,0,125.0,1,1,0,0,0,0,47,2209,0,1,0,0,1,0,1,1,0,865.38,40,0,0,0,0,240,70,2
2934,0.825672007,2,0,14,0,87.5,1,1,1,1,0,1,58,3364,0,1,0,0,1,0,7,0,0,380.0,40,0,0,225,115,0,55,3
2935,0.801819159,2,0,14,0,87.5,1,1,1,1,1,1,46,2116,0,1,0,1,1,1,1,1,0,815.53,40,0,0,10,0,45,30,3
2936,1.026963591,4,1,7,1,22.5,0,0,0,0,1,0,18,324,1,0,0,0,0,1,1,1,0,-1.0,-1,1,0,0,30,0,45,2
2937,0.337916388,1,0,1,1,2.5,1,0,0,0,1,0,57,3249,0,1,0,0,0,1,1,1,0,653.84,32,0,0,0,0,170,45,2
2938,0.469585504,3,1,8,0,27.5,1,1,1,0,0,1,43,1849,0,1,0,0,1,1,7,0,0,247.0,41,1,1,230,40,0,60,3
2939,1.113749359,5,0,15,0,125.0,1,0,1,1,0,1,49,2401,0,1,0,0,1,1,1,1,0,360.0,32,0,0,0,0,0,30,1
2940,0.468401667,4,2,10,0,37.5,1,1,1,1,1,1,29,841,1,0,0,0,1,1,7,0,0,787.5,45,1,1,5,15,0,30,3
2941,0.550233262,2,0,11,0,45.0,0,0,1,1,0,1,62,3844,0,0,1,0,1,1,7,0,0,-1.0,-1,0,0,90,120,0,60,3
2942,0.265004272,1,0,13,0,67.5,0,0,0,0,1,0,62,3844,0,0,1,1,1,1,7,0,0,-1.0,-1,0,0,0,540,0,0,1
2945,0.987317993,6,4,12,0,55.0,0,0,1,1,0,1,33,1089,1,0,0,0,1,1,7,0,0,-1.0,-1,1,1,0,680,0,0,1
2946,0.476342452,6,4,9,0,32.5,1,1,1,0,1,1,31,961,1,0,0,0,1,1,7,0,0,670.0,40,1,1,25,0,0,0,1
2947,0.513152266,2,0,11,0,45.0,0,0,1,0,0,1,64,4096,0,0,1,0,1,0,1,1,0,-1.0,-1,0,0,0,0,30,200,2
2948,0.479186816,7,5,10,0,37.5,0,0,1,1,0,0,43,1849,0,1,0,0,1,1,1,1,0,-1.0,-1,1,1,0,0,120,0,1
2949,0.485247848,2,0,15,0,125.0,0,0,1,1,0,1,60,3600,0,1,0,1,1,1,7,0,0,-1.0,-1,0,0,50,90,0,0,2
2950,0.763658848,2,0,16,0,150.0,1,1,1,1,1,1,39,1521,1,0,0,0,1,1,1,1,0,2884.61,-1,0,0,0,10,0,20,2
2951,0.358600332,1,0,15,0,125.0,1,1,0,0,0,0,45,2025,0,1,0,1,1,1,1,1,0,2403.84,40,0,0,240,0,0,90,2
2952,2.253068794,4,0,7,1,22.5,0,0,0,0,1,0,48,2304,0,1,0,0,0,1,1,1,0,-1.0,-1,0,0,0,70,0,0,1
2953,0.644880196,2,1,6,1,17.5,0,0,0,0,0,0,15,225,1,0,0,0,1,1,7,0,0,-1.0,-1,1,0,0,420,0,85,2
2954,0.443945432,1,0,1,1,2.5,0,0,0,0,1,0,58,3364,0,1,0,0,1,1,7,0,0,-1.0,-1,0,0,0,0,0,60,1
2955,0.708017667,1,0,13,0,67.5,1,1,0,0,1,0,26,676,1,0,0,0,1,1,1,1,0,769.0,84,0,0,0,20,0,30,2
2956,0.993803265,8,2,13,0,67.5,1,0,1,0,1,1,66,4356,0,0,1,0,1,1,7,0,0,-1.0,3,1,0,60,0,0,15,2
2958,1.098373973,6,2,9,0,32.5,1,1,1,0,1,1,33,1089,1,0,0,0,1,1,1,1,0,630.0,45,1,1,0,60,0,20,2
2959,0.222751988,1,0,6,1,17.5,0,0,0,0,0,0,79,6241,0,0,1,0,1,0,7,0,0,-1.0,-1,0,0,60,55,20,35,4
